1530731271931,10,8,22949,127,16913,167,33844,2,16922
1530731272522,10,8,22808,127,16924,167,33866,2,16933
1530731273062,10,8,23183,127,16918,167,33854,2,16927
1530731273604,10,8,22098,127,16915,167,16924,1,16924
1530731274142,10,8,22421,127,16909,167,33836,2,16918
1530731274678,10,8,23430,127,16908,167,33832,2,16916
1530731275223,10,8,21851,127,16907,167,33832,2,16916
1530731275757,10,8,23253,127,16910,167,33838,2,16919
1530731276302,10,8,23890,127,16910,167,33838,2,16919
1530731276837,10,8,22677,127,16906,164,33830,2,16915
1530731277375,10,8,22232,127,16909,164,33836,2,16918
1530731277918,10,8,22664,127,16914,166,33844,2,16922
1530731278450,10,8,22242,127,16911,166,33840,2,16920
1530731278995,10,8,23516,127,16916,167,33850,2,16925
1530731279539,10,8,23711,127,16917,167,16926,1,16926
1530731280079,10,8,22487,127,16917,165,33852,2,16926
1530731280615,10,8,22357,127,16911,165,33840,2,16920
1530731281148,10,8,22047,127,16914,166,33846,2,16923
1530731281686,10,8,23137,127,16916,166,33850,2,16925
1530731282238,10,8,23196,127,16919,167,16928,1,16928
1530731282771,10,8,24339,127,16918,165,16927,1,16927
1530731283303,10,8,22678,127,16913,165,33844,2,16922
1530731283842,10,8,22150,127,16921,167,33860,2,16930
1530731284380,10,8,22094,127,16921,167,33858,2,16929
1530731284909,10,8,23057,127,16920,166,33858,2,16929
1530731285442,10,8,23562,127,16924,166,50796,3,16932
1530731285973,10,8,26650,127,16915,164,727732,43,16924
1530731286509,10,8,26275,64,16911,164,1725738,102,16919
1530731287040,10,8,26644,129,16905,156,2401788,142,16914
1530731287569,10,9,26518,129,16908,156,2486799,147,16917
1530731288101,10,9,27028,129,16905,151,2418702,143,16914
1530731288634,10,9,27469,130,16903,151,2198560,130,16912
1530731289179,10,8,26453,130,16900,152,2147443,127,16909
1530731289707,10,8,26701,128,16900,152,2147443,127,16909
1530731290240,10,8,26705,64,16899,152,2147316,127,16908
1530731290772,10,8,24598,127,16895,152,1284628,76,16903
1530731291306,10,8,24857,127,16897,155,321195,19,16905
1530731291837,10,8,24725,127,16895,155,84520,5,16904
1530731292362,10,8,25052,127,16896,166,405720,24,16905
1530731292901,10,8,26774,64,16895,166,1470648,87,16904
1530731293439,10,8,26266,128,16895,162,2162560,128,16895
1530731293970,10,8,27740,129,16895,158,2466670,146,16895
1530731294502,10,9,28557,130,16871,154,2399090,142,16895
1530731295040,10,9,28058,130,16853,152,2225784,132,16862
1530731295575,10,8,27278,128,16869,152,1098175,65,16895
1530731296113,10,8,27071,128,16866,154,2142998,127,16874
1530731296641,10,8,27877,128,16871,154,2145665,127,16895
1530731297178,10,8,26004,127,16895,158,1588130,94,16895
1530731297762,10,8,25869,127,16895,158,523745,31,16895
1530731298296,10,8,23774,127,16895,162,101370,6,16895
